"","gene","IL-1_1","IL-1_2","IL-1_3","LPS_1","LPS_2","LPS_3","PAM_1","PAM_2","PAM_3","Con_1","Con_2","Con_3"
"7053","239038",0,0,0,0,1,0,1,0,0,0,0,0
"7054","170677",16,15,12,53,24,41,15,9,5,10,5,3
"7055","70045",1,0,0,5,0,4,2,3,0,1,2,7
"7056","66092",15853,18003,18736,22192,18791,20659,17017,17944,13086,10353,8037,16801
"7057","18183",0,0,0,0,0,0,0,0,0,1,0,0
"7058","75170",0,0,0,0,0,0,0,0,0,0,0,0
"7059","100503038",0,0,1,0,3,1,1,0,0,0,0,0
"7060","73591",0,0,0,0,0,0,0,0,0,0,0,0
"7061","328381",5,2,5,8,4,0,6,4,0,0,0,0
"7062","52588",1297,1257,1490,1224,897,1138,1038,895,682,887,520,391
"7063","100503457",0,0,0,1,0,1,0,0,0,1,1,0
"7064","70564",42,41,66,45,37,52,33,52,25,17,22,55
"7065","71200",0,0,0,0,0,0,0,1,0,0,0,0
"7066","69496",0,0,0,0,0,0,0,0,0,0,0,0
"7067","11720",1,0,0,0,0,1,0,1,0,0,0,0
"7068","20387",3,0,1,0,0,0,4,0,0,0,0,0
"7069","17194",0,0,0,0,0,1,0,1,2,0,0,1
"7070","20390",1,0,0,0,1,0,1,0,0,0,0,0
"7071","666186",0,0,0,0,0,0,0,0,0,0,0,0
"7072","100041722",0,0,0,0,0,0,0,0,0,0,0,0
"7073","100042114",0,0,0,0,0,0,0,0,0,0,0,0
"7074","666376",0,0,0,0,0,0,0,0,0,0,0,0
"7075","666207",0,0,0,0,0,0,0,0,0,0,0,0
"7076","666214",0,0,0,0,0,0,0,0,0,0,0,0
"7077","100503856",0,0,0,0,0,0,0,0,0,0,0,0
"7078","73553",0,0,0,0,0,0,0,0,0,0,0,0
"7079","666233",0,0,0,0,0,0,0,0,0,0,0,0
"7080","100040771",0,0,0,0,0,0,0,0,0,0,0,0
"7081","666253",0,0,0,0,0,0,1,0,0,0,0,0
"7082","666298",0,0,0,0,0,0,0,0,0,0,0,0
"7083","100504358",0,0,0,0,0,0,0,0,0,0,0,0
"7084","100042055",0,0,0,0,0,0,0,0,0,0,0,0
"7085","100504444",0,0,0,0,0,0,0,0,0,0,0,0
"7086","100042130",0,0,0,0,0,0,0,0,0,0,0,0
"7087","666420",0,0,0,0,1,3,1,0,0,0,0,0
"7088","100041106",2,4,6,36,18,17,7,17,3,0,0,5
"7089","666485",0,0,0,0,0,2,0,0,0,0,0,0
"7090","71826",0,0,1,6,0,2,0,0,1,0,0,0
"7091","666502",0,0,0,0,0,0,0,0,0,0,0,0
"7092","100861719",0,0,0,0,0,0,0,0,0,0,0,0
"7093","100042342",0,0,0,0,0,0,0,0,0,0,0,0
"7094","666561",0,0,0,0,0,0,0,0,0,0,0,0
"7095","13586",0,0,0,1,0,0,0,1,0,1,0,0
"7096","53877",0,0,0,0,0,0,0,0,0,0,0,0
"7097","93725",0,0,0,0,0,0,0,0,0,0,0,0
"7098","503844",0,0,0,0,0,0,0,0,0,0,0,0
